KO	X103post	X103pre	X104post	X104pre	X107post	X107pre	X109post	X109pre	X111post	X111pre	X116post	X116pre	X118post	X118pre	X119post	X119pre	X123post	X123pre	X124post	X124pre	X127post	X127pre	X130post	X130pre	X133post	X133pre	X138post	X138pre	X139post	X139pre	X140post	X140pre
K02803	38	1	45	26	27	25	26	12	17	13	13	12	28	12	14	9	9	14	12	4	22	79	18	18	11	31	16	6	23	6	22	27
K02804	49	1	60	35	33	33	35	16	24	19	16	16	34	15	18	12	12	20	16	5	29	115	25	23	13	42	22	8	29	9	29	35
K02805	9	0	14	9	8	4	14	4	5	2	4	6	6	8	4	4	3	1	1	0	9	10	3	6	4	7	3	2	8	2	6	5
K02806	5	0	5	2	6	2	4	1	2	1	3	1	2	5	0	2	1	2	1	1	3	5	2	3	4	8	1	0	4	1	3	1
K02808	1	0	10	2	7	3	4	1	5	2	7	2	2	0	1	0	0	5	2	1	2	10	3	4	10	9	1	0	1	0	2	1
K02809	12	0	25	10	14	11	11	5	9	7	16	7	14	6	8	5	3	9	6	3	8	26	9	8	15	18	7	2	4	1	8	8
K02810	12	0	25	10	14	11	11	5	9	7	16	7	14	6	8	5	3	9	6	3	8	26	9	8	15	18	7	2	4	1	8	8
K02812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
K02813	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0
K02814	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	1	4	0	0	0	0	0	0
K02815	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	1	4	0	0	0	0	0	0
K02817	3	0	6	2	1	2	3	1	4	3	2	1	1	0	0	0	1	1	1	0	2	3	1	2	2	0	2	1	1	1	3	4
K02818	4	0	11	4	5	4	5	2	7	4	8	2	2	0	1	0	1	4	2	0	3	14	3	5	9	7	3	1	2	2	5	4
K02819	4	0	11	4	5	4	5	2	7	4	8	2	2	0	1	0	1	4	2	0	3	14	3	5	9	7	3	1	2	2	5	4
K02821	0	0	2	3	3	1	2	1	1	0	0	1	0	0	0	0	0	1	0	0	2	19	2	1	3	6	1	0	0	0	1	0
K02822	0	0	2	4	2	1	2	1	0	0	0	0	0	1	0	0	0	1	0	0	2	20	1	1	2	8	1	0	0	0	1	0
K02823	15	1	32	16	18	14	16	6	10	8	6	10	16	9	9	4	7	8	5	2	18	25	10	13	9	10	10	4	9	5	15	16
K02824	14	0	21	11	10	8	14	6	8	7	5	6	13	6	5	2	3	2	5	2	7	30	6	8	6	13	6	2	7	3	9	11
K02825	6	1	4	1	1	2	4	1	2	2	4	1	0	5	0	3	3	4	2	1	2	20	2	1	2	1	2	1	2	2	3	4
K02827	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02834	16	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	6	11	9	4	9	5	15	15
K02835	34	2	63	34	32	26	30	14	20	17	12	22	32	26	18	14	17	12	10	4	37	55	20	24	12	22	19	9	18	9	29	32
K02836	31	2	60	32	32	26	28	13	19	16	12	21	30	26	17	14	17	12	9	4	36	54	19	23	11	22	19	8	14	9	28	30
K02837	12	1	33	20	19	15	14	6	10	8	5	12	16	8	9	5	8	6	5	2	24	31	11	13	5	7	10	5	10	6	17	17
K02838	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	6	11	9	4	9	5	15	16
K02839	3	0	1	1	0	0	5	2	0	1	2	1	1	5	1	3	1	0	0	0	1	3	0	0	1	3	1	0	0	0	0	1
K02840	0	0	1	1	0	0	1	1	0	1	0	1	1	0	1	1	2	0	0	0	1	2	0	0	0	3	1	1	0	0	1	1
K02841	3	0	2	1	1	0	1	0	0	1	1	1	0	5	0	2	1	0	1	1	0	2	1	1	1	3	0	0	0	0	1	0
K02843	0	0	7	2	2	1	2	1	2	2	0	3	4	1	2	1	1	0	2	2	1	2	2	3	0	3	2	1	1	1	2	1
K02844	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0
K02846	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K02847	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1	0
K02848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K02849	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K02850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K02851	4	0	23	14	13	8	10	4	4	3	5	8	8	6	6	3	5	2	2	3	19	26	8	9	5	9	6	3	4	4	10	9
K02852	1	0	8	8	6	4	0	0	1	0	0	3	1	2	2	1	1	0	0	0	11	10	3	3	0	3	2	1	2	2	4	4
K02853	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
K02854	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	3	0	0	0	0	0	0
K02855	0	0	1	3	0	1	1	1	0	1	0	0	3	1	0	0	1	4	0	0	1	2	1	2	0	3	0	0	1	0	0	0
K02856	1	0	12	9	7	5	4	3	3	2	0	5	8	4	4	2	2	0	0	0	12	12	4	5	0	3	4	2	2	2	6	6
K02858	4	0	2	1	1	0	0	0	1	1	2	1	1	6	0	2	1	0	1	1	1	10	1	0	1	4	0	0	0	0	1	1
K02860	14	1	31	16	16	13	14	6	10	7	4	10	15	8	8	4	5	6	5	2	18	27	10	12	5	10	9	4	9	5	14	15
K02863	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	7	11	9	4	9	5	15	16
K02864	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	7	11	9	4	9	5	15	16
K02866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02867	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	7	11	9	4	9	5	15	16
K02869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02871	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	7	11	9	4	9	5	15	16
K02874	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	7	11	9	4	9	5	15	16
K02875	0	0	1	1	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0
K02876	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	7	11	9	4	9	5	15	16
K02877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02878	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	6	11	9	4	9	5	15	16
K02879	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	6	11	9	4	9	5	15	16
K02881	18	1	35	20	19	15	14	6	10	8	6	12	16	14	10	7	9	6	5	2	24	32	12	14	7	12	10	5	10	6	17	18
K02883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02884	17	1	31	17	16	13	15	6	10	8	7	11	15	13	9	7	9	6	5	2	18	27	10	12	6	11	9	4	9	5	15	16
K02885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02886	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	7	11	9	4	9	5	15	16
K02887	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	6	11	9	4	9	5	15	16
K02888	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	6	11	9	4	9	5	15	16
K02889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02890	23	1	38	20	19	17	18	8	12	11	6	13	21	16	12	9	10	7	8	3	21	30	12	13	7	13	13	6	10	5	18	21
K02892	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	7	11	9	4	9	5	15	16
K02895	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	7	11	9	4	9	5	15	16
K02896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02897	6	0	16	9	9	5	7	3	3	3	3	7	8	10	5	5	6	2	0	0	13	21	5	6	4	9	5	2	3	3	8	7
K02899	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	6	11	9	4	9	5	15	16
K02902	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	6	11	9	4	9	5	15	16
K02904	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	7	11	9	4	9	5	15	16
K02906	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	7	11	9	4	9	5	15	16
K02907	15	1	31	17	16	13	14	6	10	8	5	11	15	8	9	4	7	6	5	2	18	27	10	12	6	11	9	4	9	5	15	16
K02908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02909	17	1	32	18	17	13	15	7	10	9	6	11	15	13	9	7	9	6	5	2	19	29	10	12	6	14	9	4	9	5	15	16
K02910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02911	17	1	31	16	16	13	14	6	10	8	6	10	15	13	8	6	6	6	5	2	18	27	10	12	6	11	9	4	9	5	14	15
K02912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02913	14	1	27	15	11	11	12	6	8	8	4	11	14	13	8	7	9	5	4	2	16	17	8	9	4	9	9	4	5	4	13	14
K02914	17	1	31	15	13	12	13	6	10	8	6	11	15	13	9	7	8	6	4	1	17	26	10	11	6	11	9	4	9	5	14	15
K02915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02916	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	6	11	9	4	9	5	15	16
K02919	14	1	28	15	11	11	12	6	8	8	4	11	14	13	9	7	9	5	4	2	17	27	9	9	3	11	9	4	5	4	13	14
K02921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02926	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	6	11	9	4	9	5	15	16
K02927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02931	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	7	11	9	4	9	5	15	16
K02933	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	7	11	9	4	9	5	15	16
K02935	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	6	11	9	4	9	5	15	16
K02936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02939	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	6	11	9	4	9	5	15	16
K02944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K02945	44	2	71	34	43	33	35	14	28	23	18	21	33	25	18	15	21	24	15	7	32	68	23	28	19	26	20	9	22	9	34	38
K02946	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	7	11	9	4	9	5	15	16
K02948	17	1	31	15	13	12	13	6	10	8	6	11	15	13	9	7	9	6	5	2	17	26	10	11	7	11	9	4	9	5	14	15
K02950	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	7	11	9	4	9	5	15	16
K02952	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	7	11	9	4	9	5	15	16
K02954	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	4	2	18	27	10	12	6	11	9	4	9	5	15	16
K02956	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	7	11	9	4	9	5	15	16
K02959	17	1	31	17	16	13	14	6	10	8	6	11	15	13	9	7	9	6	5	2	18	27	10	12	6	11	9	4	9	5	15	16
